,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
158,531975,2609610,Entire home/apt,,Praha 3,91,4.5,4.0,1.0,1.0,49.0,1.0,50.090926,14.458666,2016-03-21 19:00:13.964716
159,535968,227945,Entire home/apt,,Praha 3,95,4.5,4.0,1.0,2.0,45.0,,50.084312,14.453937,2016-03-21 18:55:13.567623
160,539688,2631036,Entire home/apt,,Praha 1,153,5.0,2.0,1.0,,45.0,,50.078367,14.416564,2016-03-21 16:01:00.958124
161,544130,2664160,Private room,,Praha 2,17,4.5,2.0,1.0,1.0,26.0,2.0,50.072767,14.443738,2016-03-21 18:18:02.432649
162,545934,2196878,Entire home/apt,,Praha 10,134,4.5,,2.0,1.0,35.0,2.0,50.053997,14.482487,2016-03-21 17:35:21.684933
163,546405,2686341,Private room,,Praha 2,172,4.5,2.0,1.0,1.0,26.0,2.0,50.077108,14.441093,2016-03-21 18:56:31.849847
164,549673,2702027,Entire home/apt,,Praha 16,8,4.0,5.0,3.0,1.0,29.0,2.0,49.983766,14.360754,2016-03-21 19:11:35.546508
165,553291,2029497,Entire home/apt,,Praha 1,158,5.0,3.0,1.0,,85.0,3.0,50.090851,14.426678,2016-03-21 14:16:15.617099
166,554888,2420777,Entire home/apt,,Praha 1,203,5.0,3.0,1.0,1.0,50.0,1.0,50.08282,14.429762,2016-03-21 16:23:14.955722
167,561841,2729239,Private room,,Praha 3,43,4.0,3.0,1.0,1.0,20.0,2.0,50.093466,14.491348,2016-03-21 15:05:18.354127
168,564492,2775920,Private room,,Praha 10,23,5.0,5.0,1.0,1.0,30.0,2.0,50.070623,14.458266,2016-03-21 18:19:13.668411
169,565497,949736,Entire home/apt,,Praha 8,96,4.5,,4.0,,109.0,,50.091273,14.439885,2016-03-21 17:37:33.355554
170,568383,2796474,Entire home/apt,,Praha 5,28,5.0,2.0,1.0,1.0,45.0,2.0,50.059729,14.403876,2016-03-21 15:56:53.189363
171,570548,2807502,Private room,,Praha 10,44,5.0,5.0,1.0,,20.0,1.0,50.056888,14.500498,2016-03-21 14:24:33.214925
172,575018,2828417,Entire home/apt,,Praha 8,3,4.5,4.0,2.0,1.0,39.0,3.0,50.118276,14.469603,2016-03-21 18:47:25.586049
173,578811,952134,Entire home/apt,,Praha 3,91,4.5,4.0,1.0,1.0,57.0,1.0,50.08653,14.468244,2016-03-21 16:54:31.177706
174,580383,2856049,Private room,,Praha 4,132,5.0,2.0,1.0,,31.0,1.0,50.056415,14.429952,2016-03-21 14:56:36.457329
